standard_op,profiling_kernel,shape_details,kernel_latency_us
ATTN_PRE_NORM_QUANT,residual_rms_norm_smoothquant_kernel,[4096x3584] residual+rmsnorm+smoothquant fused bf16→int8+scale,120.038
QKV_MATMUL,mr_fast_gemm_i8_i8 (W8A8),[4096x3584]×[3584x12288]→bf16,1264.615
FUSED_NORM_ROPE_QUANT_STORE,rms_norm_qk_rotary_embedding_quant_kv(swa),[4096x40x128] swa norm+rope+quant,157.000
,paged_store_kv_cache(swa),[4096 tokens → pages],43.153
,rms_norm_qk_rotary_embedding_quant_kv(full),[4096x40x128] full norm+rope+quant,166.576
,paged_store_kv_cache(full),[4096 tokens → pages],43.807
FLASH_ATTENTION,unrolled_elementwise(fill),[misc] zero-fill,3.634
,build_window_cu_lens,[4096] window cu_seqlens,3.557
,paged_kv_cache_dequant_varlen_window(SWA),[window] int8→bf16 kv dequant,57.115
,compute_flash_attn(SWA),"q=4096 kv=window(~5k), 32 heads",1867.057
,unrolled_elementwise(fill#2),[misc] zero-fill,3.653
,paged_kv_cache_dequant_varlen_head_dim(Full),[16384x8x128] int8→bf16 kv dequant,163.576
,compute_flash_attn(Full),"q=4096 kv=16384, 32 heads",11986.980
ATTN_OUTPUT_GATE,general_gemm_bf16(attn_gate),[4096x4096]×[4096x32]→gate,114.519
,fused_concat_sigmoid_mul_dynamic_smoothquant,[4096x4096]+[4096x4096] cat+gate+quant→int8,185.192
O_PROJ,mr_fast_gemm_i8_i8,[4096x8192]×[8192x3584]→bf16,785.038
ATTN_POST_NORM_QUANT,residual_rms_norm(res_add),[4096x3584] residual add + rmsnorm,86.980
,residual_rms_norm(router_norm+smoothquant),[4096x3584] norm+quant for router,205.653
MOE_GATING,triple_gemm_bf16_fp32,[4096x3584]×[3584x384]→fp32,343.211
,topkGatingSoftmaxUnaligned,[4096x384]→top8 indices+gates,83.865
MOE_DISPATCH,moe_compute_large_token_index,[4096×8→T'] dispatch index,101.692
,(sync bubble),[device idle ~97us],97.328
MOE_EXPERTS,moe_input_dynamic_smooth_int8,[T'x3584]→int8 expand+smooth+quant,342.961
,mr_fast_group_gemm_w4a8(fc1_g256),[T'x3584]×[3584x2560] top experts (grid=990),1155.538
,mr_fast_group_gemm_w4a8(fc1_tail_untraced),[T'x3584]×[3584x2560] untraced group gemm,1753.563
,mr_fast_group_gemm_w4a8(fc1_g320),[T'x3584]×[3584x2560] tail experts (grid=195),920.923
,activation_dynamic_scaled_int8,swiglu+quant [T'x2560]→[T'x1280],345.153
,mr_fast_group_gemm_w4a8(fc2_g256),[T'x1280]×[1280x3584] top experts (grid=1386),664.250
,mr_fast_group_gemm_w4a8(fc2_tail_untraced),[T'x1280]×[1280x3584] untraced group gemm,1018.804
,mr_fast_group_gemm_w4a8(fc2_g320),[T'x1280]×[1280x3584] tail experts (grid=273),504.923
MOE_COMBINE,moe_output_reduce_sum,[T'x3584]→[4096x3584] weighted sum,418.038
,,,
SUM,,,25040.343
kernel_total,,,22144.043
sync_bubble,,,97.328
untraced_group_gemm_total,,,2772.367
other_overhead,,,26.605
